"Year","Region","fungicide_kg","fungicide_area"
2024,"North West","324718","1583139"
2024,"East Midlands","324718","1583139"
2024,"West Midlands","324718","1583139"
2022,"North West","363742","2109835"
2022,"East Midlands","363742","2109835"
2022,"West Midlands","363742","2109835"
2020,"North West","286278","1421321"
2020,"East Midlands","286278","1421321"
2020,"West Midlands","286278","1421321"
2018,"North West","518817","2149811"
2018,"East Midlands","518817","2149811"
2018,"West Midlands","518817","2149811"
2016,"North West","470906","2092987"
2016,"East Midlands","470906","2092987"
2016,"West Midlands","470906","2092987"
2014,"North West","455506","2174000"
2014,"East Midlands","455506","2174000"
2014,"West Midlands","455506","2174000"
2012,"North West","388136","1967916"
2012,"East Midlands","388136","1967916"
2012,"West Midlands","388136","1967916"
2010,"North West","409195","2043290"
2010,"East Midlands","409195","2043290"
2010,"West Midlands","409195","2043290"
2008,"North West","477138","2301793"
2008,"East Midlands","477138","2301793"
2008,"West Midlands","477138","2301793"
2006,"North West","315926","1620111"
2006,"East Midlands","315926","1620111"
2006,"West Midlands","315926","1620111"
2004,"North West","320273","1806295"
2004,"East Midlands","320273","1806295"
2004,"West Midlands","320273","1806295"
2002,"North West","239446","1831012"
2002,"East Midlands","239446","1831012"
2002,"West Midlands","239446","1831012"
2000,"North West","271700","1858051"
2000,"East Midlands","271700","1858051"
2000,"West Midlands","271700","1858051"
1998,"North West","331908","1814357"
1998,"East Midlands","331908","1814357"
1998,"West Midlands","331908","1814357"
1996,"North West","420417","1840174"
1996,"East Midlands","420417","1840174"
1996,"West Midlands","420417","1840174"
1994,"North West","409042","1498661"
1994,"East Midlands","409042","1498661"
1994,"West Midlands","409042","1498661"
1992,"North West","446998","1477587"
1992,"East Midlands","446998","1477587"
1992,"West Midlands","446998","1477587"
1990,"North West","453054","1387285"
1990,"East Midlands","453054","1387285"
1990,"West Midlands","453054","1387285"
2024,"Yorkshire and The Humber","362284","2213329"
2024,"North East","362284","2213329"
2022,"Yorkshire and The Humber","470123","2818757"
2022,"North East","470123","2818757"
2020,"Yorkshire and The Humber","466208","2188329"
2020,"North East","466208","2188329"
2018,"Yorkshire and The Humber","649936","2754675"
2018,"North East","649936","2754675"
2016,"Yorkshire and The Humber","653110","2745494"
2016,"North East","653110","2745494"
2014,"Yorkshire and The Humber","570862","2719234"
2014,"North East","570862","2719234"
2012,"Yorkshire and The Humber","493617","2607311"
2012,"North East","493617","2607311"
2010,"Yorkshire and The Humber","471768","2434561"
2010,"North East","471768","2434561"
2008,"Yorkshire and The Humber","540661","2427980"
2008,"North East","540661","2427980"
2006,"Yorkshire and The Humber","456175","2101110"
2006,"North East","456175","2101110"
2004,"Yorkshire and The Humber","554107","2480727"
2004,"North East","554107","2480727"
2002,"Yorkshire and The Humber","337457","2238509"
2002,"North East","337457","2238509"
2000,"Yorkshire and The Humber","290224","2170993"
2000,"North East","290224","2170993"
1998,"Yorkshire and The Humber","387755","2160805"
1998,"North East","387755","2160805"
1996,"Yorkshire and The Humber","490142","2227583"
1996,"North East","490142","2227583"
1994,"Yorkshire and The Humber","439893","1726430"
1994,"North East","439893","1726430"
1992,"Yorkshire and The Humber","545870","2026712"
1992,"North East","545870","2026712"
1990,"Yorkshire and The Humber","646301","2075543"
1990,"North East","646301","2075543"
2024,"Scotland","410905","2113808"
2022,"Scotland","412631","2050981"
2020,"Scotland","483209","2254798"
2018,"Scotland","472594","2090890"
2016,"Scotland","510660","2137388"
2014,"Scotland","496333","2297304"
2012,"Scotland","452393","2180714"
2010,"Scotland","466416","2055350"
2008,"Scotland","550697","2311336"
2006,"Scotland","436759","1869139"
2004,"Scotland","517137","2111168"
2002,"Scotland","370711","1564885"
2000,"Scotland","340716","1840587"
1998,"Scotland","542837","1902877"
1996,"Scotland","528456","1686606"
1994,"Scotland","455399","1235487"
1992,"Scotland","544037","1540824"
