Year,Region,L1_Zymoseptoria_tritici_Disease_Severity,L1_Yellow_rust_Disease_Severity,L1_Zymoseptoria_tritici_Crop_Incidence,L1_Yellow_rust_Crop_Incidence,L2_Zymoseptoria_tritici_Disease_Severity,L2_Yellow_rust_Disease_Severity,L2_Zymoseptoria_tritici_Crop_Incidence,L2_Yellow_rust_Crop_Incidence
1971,East,0.06,0.302,10,26.25,0.461,1.066,31.25,33.75
1971,East Midlands,0.019,1.734,10.811,32.432,0.215,4.449,10.811,40.541
1971,North East,0,0.729,0,28.571,0,1.273,0,28.571
1971,North West,0.001,0.008,4.762,19.048,0.005,0.059,4.762,19.048
1971,South East,1.108,0.558,57.692,61.538,3.966,2.731,69.231,57.692
1971,South West,0.768,1.677,20,30,2.75,4.914,40,30
1971,Wales,0.002,0.01,5.882,17.647,0.054,0.151,29.412,23.529
1971,West Midlands,0.026,0.003,4.348,4.348,0.134,0.044,34.783,8.696
1971,Yorkshire and The Humber,0,0.01,0,10.345,0.053,0.022,10.345,24.138
1972,East,0.317,2.768,33.824,73.529,1.861,3.435,57.353,67.647
1972,East Midlands,0.164,3.088,35.294,85.294,1.419,5.182,67.647,82.353
1972,North East,2.344,5.271,33.333,88.889,2.929,3.389,55.556,77.778
1972,North West,0.077,1.598,37.5,70.833,1.035,4.738,70.833,70.833
1972,South East,2.502,5.592,80,80,10.935,6.345,84,76
1972,South West,10.293,3.596,92.593,59.259,23.581,6.773,92.593,62.963
1972,Wales,1.595,1.782,69.231,76.923,12.395,2.015,92.308,69.231
1972,West Midlands,0.671,5.103,53.846,76.923,2.163,7.257,65.385,73.077
1972,Yorkshire and The Humber,0.471,1.443,55.172,62.069,2.581,3.169,72.414,58.621
1973,East,0.098,0.394,11.475,22.951,0.349,0.458,22.951,16.393
1973,East Midlands,0.008,0.23,6.897,31.034,0.451,0.324,13.793,17.241
1973,North East,0.027,0.337,27.273,18.182,0.208,0.147,54.545,18.182
1973,North West,0.014,0.195,4.545,13.636,0.135,0.496,13.636,4.545
1973,South East,0.108,0.239,15.909,18.182,0.954,0.198,52.273,15.909
1973,South West,0.709,0.008,47.059,11.765,5.836,0,52.941,0
1973,Wales,0.391,0,23.529,0,1.192,0,41.176,0
1973,West Midlands,0,0.091,0,20,0.094,0.232,16,16
1973,Yorkshire and The Humber,0,0.689,0,35,0.543,0.656,40,20
1974,East,0.011,0.51,4.167,26.042,0.024,0.905,10.417,26.042
1974,East Midlands,0.001,0.268,2,20,0.003,0.377,8,24
1974,North East,0,0.023,0,33.333,0.003,0.012,11.111,11.111
1974,North West,0.01,1.467,13.636,22.727,0.103,3.106,22.727,40.909
1974,South East,0.054,0.211,16.667,18.75,0.333,0.254,37.5,27.083
1974,South West,0.115,0.003,40.909,9.091,5.4,0.003,72.727,4.545
1974,Wales,0.021,0.003,25,8.333,0.162,0.019,25,8.333
1974,West Midlands,0.003,0.107,4.167,12.5,0.049,0.068,12.5,12.5
1974,Yorkshire and The Humber,0.002,0.34,7.692,38.462,0.005,0.692,11.538,34.615
1975,East,0,1.418,0,47.525,0.009,4.501,5.941,46.535
1975,East Midlands,0.002,0.597,2.174,36.957,0.028,1.195,4.348,28.261
1975,North East,0,0.118,0,44.444,0,0.532,0,33.333
1975,North West,0,0.364,0,36.842,0.002,0.536,5.263,42.105
1975,South East,0.003,0.62,2.174,34.783,0.286,0.988,13.043,32.609
1975,South West,0,1.679,0,31.034,0.213,2.356,20.69,24.138
1975,Wales,0.029,0,14.286,0,0.087,0.019,14.286,14.286
1975,West Midlands,0,0.115,0,11.111,0.006,0.179,11.111,14.815
1975,Yorkshire and The Humber,0,0.251,0,32.258,0.002,0.471,3.226,25.806
1976,East,0,0.001,0,2.02,0,0,0,0
1976,East Midlands,0,0,0,0,0,0.001,0,1.724
1976,North East,0,0.239,0,25,0,0.059,0,12.5
1976,North West,0,0,0,0,0.04,0,10,0
1976,South East,0,0,0,0,0.001,0,2.222,0
1976,South West,0,0,0,0,0.07,0,4.762,0
1976,Wales,0.919,0.005,14.286,7.143,1.065,0.008,28.571,7.143
1976,West Midlands,0,0,0,0,0,0,0,0
1976,Yorkshire and The Humber,0,0.018,0,8.824,0,0.004,0,2.941
1977,East,0.007,0.002,4.587,2.752,0.059,0.003,5.505,6.422
1977,East Midlands,0.01,0,3.226,0,0.015,0.011,4.839,6.452
1977,North East,0,0,0,0,0,0,0,0
1977,North West,0,0,0,0,0,0,0,0
1977,South East,0.007,0,6.522,0,0.13,0.002,19.565,2.174
1977,South West,0.096,0,11.111,0,1.351,0,25.926,0
1977,Wales,0.002,0,5.263,0,0.011,0,5.263,0
1977,West Midlands,0,0,0,0,0,0,0,0
1977,Yorkshire and The Humber,0,0.004,0,2.564,0.002,0.011,5.128,7.692
1978,East,0.075,0.491,18.478,25,1.032,1.108,47.826,22.826
1978,East Midlands,1.147,0.264,8.772,31.579,1.845,0.919,43.86,29.825
1978,North East,0.004,0.039,12.5,12.5,0.461,0.054,50,12.5
1978,North West,0,0.085,0,33.333,0.208,0.533,50,66.667
1978,South East,0.037,0.006,24.39,4.878,1.077,0.183,53.659,9.756
1978,South West,0.038,0.104,20.69,10.345,2.433,0.511,51.724,6.897
1978,Wales,0.008,0,15,0,1.234,0.069,55,5
1978,West Midlands,0.064,0,42.105,0,0.576,0,52.632,0
1978,Yorkshire and The Humber,0.026,0.002,12.121,6.061,0.109,0.065,18.182,9.091
1979,East,0.282,0.007,19.417,5.825,2.92,0.011,42.718,4.854
1979,East Midlands,0.753,0.038,27.451,9.804,3.016,0.027,41.176,3.922
1979,North East,0,0,0,0,0.256,0,14.286,0
1979,North West,1.189,0.019,25,12.5,2.049,0,50,0
1979,South East,0.307,0.16,32.609,10.87,2.531,0.138,71.739,8.696
1979,South West,0.443,0.007,46.154,7.692,4.861,0.005,69.231,11.538
1979,Wales,1.031,0,47.059,0,6.748,0,47.059,0
1979,West Midlands,0.002,0.065,5.882,23.529,0.084,0.047,17.647,5.882
1979,Yorkshire and The Humber,0.015,0,16.667,0,0.927,0,25,0
1980,East,0.127,0.007,16.981,2.83,1.298,0.042,33.019,4.717
1980,East Midlands,0.024,0.024,16.949,5.085,0.615,0.032,32.203,8.475
1980,North East,0.011,0,22.222,0,0.096,0,22.222,0
1980,North West,0.12,0,33.333,0,1.677,0,66.667,0
1980,South East,0.043,0.011,25.532,4.255,0.596,0.046,42.553,6.383
1980,South West,4.19,0.006,25,8.333,6.47,0.004,45.833,8.333
1980,Wales,0.875,0,35.294,0,2.062,0,35.294,0
1980,West Midlands,0.52,0.001,18.182,4.545,1.715,0.003,40.909,4.545
1980,Yorkshire and The Humber,0,0.001,0,3.125,0.107,0,15.625,0
1981,East,0.665,0.639,51.613,25.806,3.865,0.456,84.946,25.806
1981,East Midlands,0.067,0.121,26.531,26.531,0.468,0.098,59.184,22.449
1981,North East,0.035,0.211,20,20,0.873,0.04,40,10
1981,North West,0.18,0.29,50,100,1.77,0.05,100,100
1981,South East,0.943,0.732,64.583,29.167,5.625,0.53,85.417,22.917
1981,South West,3.225,0.186,96,20,17.994,0.399,100,20
1981,Wales,2.229,0.077,56.25,12.5,5.572,0,75,0
1981,West Midlands,0.23,1.851,38.095,38.095,2.524,2.373,66.667,38.095
1981,Yorkshire and The Humber,0.086,0.066,27.273,21.212,0.502,0.023,60.606,12.121
1982,East,0.005,0.004,2.83,2.83,0.379,0.004,22.642,0.943
1982,East Midlands,0.019,0,11.538,0,0.235,0,17.308,0
1982,North East,0,0,0,0,0.039,0,25,0
1982,North West,0.067,0,33.333,0,0,0,0,0
1982,South East,0.037,0.038,10,2,0.087,0.004,20,2
1982,South West,0.015,0,7.143,0,0.01,0.001,3.571,3.571
1982,Wales,0.008,0.005,7.143,7.143,0.082,0,21.429,0
1982,West Midlands,0.224,0.001,16,4,1.019,0.008,20,4
1982,Yorkshire and The Humber,0.015,0.003,8.824,2.941,0.019,0.005,11.765,5.882
1985,East,7.722,0,62.712,0,17.823,0.002,88.136,1.695
1985,East Midlands,3.841,0.001,72.222,1.852,13.681,0.008,94.444,3.704
1985,North East,2.437,0,60,0,7.879,0,90,0
1985,North West,1.152,0,33.333,0,6.142,0,66.667,0
1985,South East,8.952,0,85.106,0,27.798,0.009,97.872,2.128
1985,South West,0.968,0,72.727,0,5.693,0.003,95.455,2.273
1985,Wales,5.105,0,68.75,0,15.795,0.004,93.75,6.25
1985,West Midlands,2.926,0,90,0,16.39,0.004,96.667,3.333
1985,Yorkshire and The Humber,2.176,0,64.706,0,12.819,0,88.235,0
1986,East,0.014,0,18.75,1.25,0.285,0,57.5,0
1986,East Midlands,0.035,0,17.742,1.613,0.693,0,54.839,0
1986,North East,0.026,0,16.667,0,0.658,0,41.667,0
1986,North West,0.025,0,16.667,0,0.815,0,50,0
1986,South East,0.06,0.002,21.429,1.429,1.098,0,71.429,1.429
1986,South West,0.148,0,37.736,0,2.398,0,81.132,0
1986,Wales,0.083,0,50,0,2.713,0,77.778,0
1986,West Midlands,0.029,0.001,18.519,3.704,0.781,0,55.556,0
1986,Yorkshire and The Humber,0.01,0,17.021,0,0.443,0,46.809,0
1987,East,1.465,0.007,65.455,0.909,5.613,0,92.727,0.909
